台湾直播,#genre#
凤凰卫视资讯,https://www.youtube.com/watch?v=HFib76ySpbU
凤凰卫视资讯台,https://www.youtube.com/watch?v=LNux6O0Fj6A
凤凰资讯台,https://www.youtube.com/watch?v=fN9uYWCjQaw
中天新闻台,https://www.youtube.com/watch?v=vr3XyVCR4T0
TaiwanPlus,https://www.youtube.com/watch?v=Vrs-AeKZIEg
TVBS选新闻,https://www.youtube.com/watch?v=o_-hSMgpAzs
TVBS新闻台,https://www.youtube.com/watch?v=2mCSYvcfhtc
TVBS网络台,https://www.youtube.com/watch?v=m_dhMSvUCIc
TVBS优选台,https://www.youtube.com/watch?v=WAUECPu9EOw
寰宇新闻台,https://www.youtube.com/watch?v=6IquAgfvYmc
寰宇新闻二,https://www.youtube.com/watch?v=Ej3LQM_lTEw
寰宇台湾台,https://www.youtube.com/watch?v=w87VGpgd90U
寰宇财经台,https://www.youtube.com/watch?v=yAUQQ0DhPxI
东森新闻台,https://www.youtube.com/watch?v=V1p33hqPrUk
东森直播台,https://www.youtube.com/watch?v=E0zhe2gkXBs
东森财经台,https://www.youtube.com/watch?v=1I2iq41Akmo
东森财经台,https://www.youtube.com/watch?v=AEBeWMM1atA
东森综合台,https://www.youtube.com/watch?v=cimbpAZUjzw
三立新闻台,https://www.youtube.com/watch?v=pF507BLtbqU
三立海外台,https://www.youtube.com/watch?v=hGJkDZDchYI
公视新闻台,https://www.youtube.com/watch?v=quwqlazU-c8
民视新闻台,https://www.youtube.com/watch?v=ylYJSBUgaMA
华视新闻台,https://www.youtube.com/watch?v=wM0g8EoUZ_E
中视新闻台,https://www.youtube.com/watch?v=TCnaIE_SAtM
非凡新闻台,https://www.youtube.com/watch?v=wAUx3pywTt8
台视新闻台,https://www.youtube.com/watch?v=xL0ch83RAK8
TVBS选新闻,https://www.youtube.com/watch?v=d1jUeoc3pio
三立新闻,https://www.youtube.com/watch?v=MV9mI0GChwo
三立 iNEWS,https://www.youtube.com/watch?v=BlKaF8og0jo
寰宇财经新闻,https://www.youtube.com/watch?v=WTRQiVWK1jY
大爱电视2,https://www.youtube.com/watch?v=DTNkEm6jaqQ
中视综艺台,https://www.youtube.com/watch?v=A98LJq71BZg
中天亚洲台,https://www.youtube.com/watch?v=dKkyfjn8xq8
镜电视新闻,https://www.youtube.com/watch?v=5n0y6b0Q25o
倪珍播新闻,https://www.youtube.com/watch?v=RRybv1kEnCU
亚洲新闻台,https://www.youtube.com/watch?v=XWq5kBlakcQ
半岛新闻台,https://www.youtube.com/watch?v=gCNeDWCI0vo
新传媒娱乐,https://www.youtube.com/watch?v=ipqTkEH3mhE
台湾大搜索,https://www.youtube.com/watch?v=Q0jusAya5s4
经典综艺台,https://www.youtube.com/watch?v=ADDSmXoPDY8
信大电视台,https://www.youtube.com/watch?v=3MakY86sYn8
大陆寻奇台,https://www.youtube.com/watch?v=LqXVZ_hK3Xs
大爱电视台,https://www.youtube.com/watch?v=MIqUplvSRWA
大爱电视二,https://www.youtube.com/watch?v=QDxRJP-wfeI
太阳马戏团,https://www.youtube.com/watch?v=swgouFE-5e4

海外直播,#genre#
SEA POP,https://www.youtube.com/watch?v=RjZr3ksn_F8
SEA POP,https://www.youtube.com/watch?v=mHfL7Fl3XW8
DuaLipa,https://www.youtube.com/watch?v=Gt43Zqf3s0U
TheKPOP,https://www.youtube.com/watch?v=JVocS7Yftw8
SunWave,https://www.youtube.com/watch?v=RVk6c_SjOm8
AlanWalker,https://www.youtube.com/watch?v=9l63T77YL2c
RelaxingNature,https://www.youtube.com/watch?v=vdeJ3QY6w6g
DiscoveryRelaxation,https://www.youtube.com/watch?v=6iQCt1X8jZU
BBC Earth,https://www.youtube.com/watch?v=1LhlXiSc5NY
